,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
3037,(주)브이카 워커힐 영업소,,36.124731,128.183661,,5
3038,(주)삼일렌터카,서울특별시 종로구 자하문로7길 24,37.578846,126.970774,서울특별시 종로구 자하문로7길 24,93
3039,(주)어디가렌트카,서울특별시 서대문구 신촌역로 7,37.55735275,126.9425000212,서울특별시 서대문구 연세로2다길 68,64
3040,영일기업 충주영업소,,36.986542,127.937133,,0
3041,㈜터미널렌트카,"서울특별시 강서구 양천로59길 46,503-1(가양동, 대일빌딩)",37.56104156,126.860025,,85
3042,주식회사 인스렌터카 영양영업소,경상북도 영양군 영양읍 영양로 1610,36.65375307,129.1084837,,2
3043,영일기업 영주영업소,경상북도 영주시 대학로 217,36.81467824,128.6051639,경상북도 영주시 대학로 217,0
3044,한진렌트카 영주영업소,경상북도 영주시 시청로 11,36.807225,128.624011,경상북도 영주시 시청로 11(휴천동),9
3045,(주)하이렌터카영주지점,경상북도 영주시 창진로 85,36.836717,128.608306,경상북도 영주시 창진로 85,9
3046,(주)엠알렌터카 경주영업소,경상북도 경주시 태종로 195(효현동),35.831876,129.160007,경상북도 영천시 고경면 호국로 374,2
3047,(주)엠알렌트카 영천영업소,경상북도 영천시 고경면 호국로 374,35.9795395318,128.978128,경상북도 영천시 고경면 호국로 374,34
3048,한진렌트카 영천영업소,경상북도 영천시 금호읍 금호로55(53-2),35.930363,128.867839,"경상북도 영천시 금호읍 금호로 55,(53-2)",27
3049,(주)대구렌트카 예천영업소,경상북도 예천군 예천읍 양궁로 50,36.64802161,128.4607856,,8
3050,(주)제주아산렌트카,제주특별자치도 제주시 연미길 44(오라삼동),33.48978769,126.5057948,제주특별자치도 제주시 연미길 44(오라삼동),173
3051,(주)명성렌트카,"경기도 오산시 원동로 6, 2층",37.142006,127.0696384928,경기도 오산시 밀머리로 83,57
3052,(주)블루렌트카 성남영업소,경기도 성남시 분당구 새나리로 67(야탑동),37.40363094,127.162444,경기도 광주시 오포읍 마루들길35번길 34,20
3053,(주)블루렌트카,"경기도 광주시 오포읍 양벌로353번길 3, 105호(양벌리 948)",37.36816055,127.245744,경기도 광주시 오포읍 마루들길35번길 34(양벌리 204-2),41
3054,(주)월드렌트카,경기도 광주시 오포읍 세피내길 128,37.379362,127.2424877,경기도 광주시 오포읍 세피네길 128,40
3055,(주)교원렌트카,충청북도 옥천군 옥천읍 양수로 87,36.29733431,127.5568512,,87
3056,(주)엔아이씨이새인천광역시렌트카(백령영업소),인천광역시 옹진군 백령면 백령로 382,37.97424839,124.7066609,,1
3057,(유)드림렌트카 완도영업소,전라남도 완도군 완도읍 장보고대로248번길 41,34.31339891,126.7552528777,전라남도 완도군 군외면 원동리 235-3,5
3058,동부렌트카 완도영업소,전라남도 완도군 완도읍 개포로 130번길 10-11,34.31815882,126.7442203,전라남도 완도군 완도읍 개포로 130번길 10-11,14
3059,(주)제일렌트카 완도영업소,,34.31921898,126.7484961,,6
3060,삼일렌트카 완도영업소,전라남도 완도군 완도읍 청해진로 1566,34.34346421,126.7289091,전라남도 완도군 완도읍 청해진로 1566,1
3061,(유)아이렌트카,전라북도 전주시 덕진구 기린대로 375,35.83609654,127.1338814,전라북도 전주시 덕진구 기린대로 375,132
3062,(주)하이렌트카 완주영업소,전라북도 완주군 삼례읍 삼례나들목로 142-28,35.90826434,127.0962262,전라북도 완주군 삼례읍 삼례나들목로 142-28,44
3063,(유)에이치엠렌트카,"전라북도 전주시 덕진구 추탄로 56, 201호",35.84568258,127.1092997,,51
3064,(주)에스티홀딩스,"제주특별자치도 제주시 공항로1길 9, 2층(용담이동)",33.50435149,126.4973983,,271
3065,(주)탐라렌트카,제주특별자치도 제주시 공항로 5(용담이동),33.50482039,126.4967932,,498
3066,(주)코끼리렌트카,서울특별시 성북구 한천로 529 - 1,37.60766612,127.065438,서울특별시 용산구 한강대로39길 10,57
